Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","Front layer logo",93.472000,-77.216000,180.000000,bottom
"ACT","LED","LED_1206_3216Metric",47.834000,-85.734000,180.000000,top
"BT1","Battery_Cell","CR12202",125.650000,-73.980000,0.000000,top
"C1","10uF","C_1206_3216Metric",59.020000,-100.170000,90.000000,top
"C2","10uF","C_1206_3216Metric",55.990000,-100.200000,90.000000,top
"C3","100nF","C_0805_2012Metric",61.560000,-99.600000,90.000000,top
"C4","100nF","C_0805_2012Metric",135.630000,-62.280000,90.000000,top
"C5","100nF","C_0805_2012Metric",118.810000,-108.090000,90.000000,top
"C6","10u","C_1206_3216Metric",125.110000,-100.180000,180.000000,top
"C7","100nF","C_0805_2012Metric",119.400000,-98.800000,270.000000,top
"C8","10u","C_1206_3216Metric",125.010000,-93.480000,0.000000,top
"C9","10u","C_1206_3216Metric",125.010000,-90.680000,0.000000,top
"C10","10u","C_1206_3216Metric",125.110000,-103.030000,180.000000,top
"C11","100nF","C_0805_2012Metric",123.500000,-32.900000,0.000000,top
"C12","100nF","C_0805_2012Metric",49.530000,-134.112000,180.000000,top
"C13","100nF","C_0805_2012Metric",51.054000,-108.458000,180.000000,top
"F1","2A, 6V","Fuse_1812_4532Metric",127.460000,-108.200000,0.000000,top
"G***","LOGO","Front layer logo",103.378000,-86.868000,0.000000,top
"INT","LED","LED_1206_3216Metric",112.430000,-112.002000,0.000000,top
"J1","Bus_PCI_Express_Mini","BUS_PCI_Express_Mini",129.540000,-130.048000,90.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",134.384000,-107.442000,90.000000,top
"J8","Micro_SD_Card","microSD_HC_Hirose_DM3AT-SF-PEJM5",126.820000,-41.850000,90.000000,top
"J11","USB_A","USB_A_Molex_67643_Horizontal",51.308000,-115.316000,270.000000,top
"L1","4.7u","SRN4018",131.160000,-99.130000,270.000000,top
"L2","4.7u","SRN4018",117.860000,-92.830000,90.000000,top
"MD1","Board_RPi_CM3lite_200pConnector_multipart","Conn_TE-DDR2-SODIMM-0.6-200P-doublesided",73.935001,-71.725001,0.000000,top
"PWR","LED","LED_1206_3216Metric",47.864000,-88.814000,180.000000,top
"Q1","2N7002","SOT-23",59.210000,-85.730000,180.000000,top
"Q2","Q_PMOS_GSD","SOT-23",122.310000,-108.190000,0.000000,top
"R1","100K","R_1206_3216Metric",104.410000,-70.360000,0.000000,top
"R2","100K","R_1206_3216Metric",105.380000,-50.890000,0.000000,top
"R3","100K","R_1206_3216Metric",104.430000,-66.830000,0.000000,top
"R4","100K","R_1206_3216Metric",105.380000,-48.120000,0.000000,top
"R5","100k","R_1206_3216Metric",59.480000,-92.170000,180.000000,top
"R6","470","R_1206_3216Metric",53.630000,-85.750000,0.000000,top
"R7","470","R_1206_3216Metric",53.600000,-88.830000,0.000000,top
"R8","2.7k","R_1206_3216Metric",68.072000,-110.236000,0.000000,top
"R9","200","R_1206_3216Metric",106.694000,-112.036000,180.000000,top
"R10","10k","R_1206_3216Metric",115.220000,-62.200000,270.000000,top
"R11","10k","R_1206_3216Metric",118.660000,-62.190000,270.000000,top
"R12","100k","R_1206_3216Metric",117.000000,-99.380000,270.000000,top
"U1","FE1.1s","SSOP-28_3.9x9.9mm_P0.635mm",60.060000,-107.200000,90.000000,top
"U2","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",127.130000,-60.520000,180.000000,top
"U3","PAM2306AYPKE","WDFN-12-1EP_3x3mm_P0.45mm_EP1.7x2.5mm",124.910000,-96.880000,180.000000,top
